sci_data_set_name,sci_targname,sci_ra,sci_dec,sci_refnum,sci_start_time,sci_stop_time,sci_actual_duration,sci_instrume,sci_aper_1234,sci_spec_1234,sci_central_wavelength,sci_pep_id,sci_pi_last_name,sci_release_date,sci_preview_name,scp_scan_type,sci_hlsp
J93I30ITQ,0272-51941-151,156.463875,-0.5881777777778,49,2004-10-23T19:35:48.977000,2004-10-23T19:42:50.023000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1958,10174,KOOPMANS,2005-04-25T01:10:56,J93I30ITQ,,
J93I30IUQ,0272-51941-151,156.463875,-0.5881777777778,49,2004-10-23T19:45:26.960000,2004-10-23T19:52:28.007000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5562,10174,KOOPMANS,2005-04-25T03:53:06,J93I30IUQ,,
J93I38ZLQ,0315-51663-259,233.8765833333,-0.6478555555556,49,2005-05-06T23:58:37.220000,2005-05-07T00:05:38.237000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2231,10174,KOOPMANS,2005-11-09T03:58:44,J93I38ZLQ,,
J93I38ZMQ,0315-51663-259,233.8765833333,-0.6478555555556,49,2005-05-07T00:08:15.203000,2005-05-07T00:15:16.253000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6924,10174,KOOPMANS,2005-11-09T04:03:42,J93I38ZMQ,,
J93I33H0Q,0337-51997-460,192.7105,-1.592127777778,49,2005-07-02T15:05:22.077000,2005-07-02T15:12:23.007000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2314,10174,KOOPMANS,2006-01-01T23:20:56,J93I33H0Q,,
J93I33H1Q,0337-51997-460,192.7105,-1.592127777778,49,2005-07-02T15:15:00.170000,2005-07-02T15:22:01.217000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.7324,10174,KOOPMANS,2006-01-01T23:25:27,J93I33H1Q,,
J93I12FPQ,0337-51997-480,192.8987916667,-2.134769444444,49,2005-03-22T08:19:28.140000,2005-03-22T08:26:29.187000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2168,10174,KOOPMANS,2005-09-21T19:01:32,J93I12FPQ,,
J93I12FQQ,0337-51997-480,192.8987916667,-2.134769444444,49,2005-03-22T08:29:06.157000,2005-03-22T08:36:07.203000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6606,10174,KOOPMANS,2005-09-21T20:00:26,J93I12FQQ,,
J93I49OJQ,0352-51789-563,259.6558333333,64.41451111111,49,2004-08-11T18:34:36.703000,2004-08-11T18:41:37.820000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1855,10174,KOOPMANS,2005-02-11T14:45:58,J93I49OJQ,,
J93I49OKQ,0352-51789-563,259.6558333333,64.41451111111,49,2004-08-11T18:44:14.770000,2004-08-11T18:51:15.837000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5049,10174,KOOPMANS,2005-02-11T21:50:55,J93I49OKQ,,
J93I41DMQ,0364-52000-084,246.9435416667,-0.8993222222222,49,2005-03-20T22:55:50.973000,2005-03-20T23:02:52.067000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2168,10174,KOOPMANS,2005-09-20T01:19:32,J93I41DMQ,,
J93I41DNQ,0364-52000-084,246.9435416667,-0.8993222222222,49,2005-03-20T23:05:29.040000,2005-03-20T23:12:30.083000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6597,10174,KOOPMANS,2005-09-20T09:57:07,J93I41DNQ,,
J93I21I7Q,0436-51883-633,120.6700833333,45.08131666667,49,2005-04-24T06:17:34.213000,2005-04-24T06:24:35.260000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2217,10174,KOOPMANS,2005-10-24T18:33:31,J93I21I7Q,,
J93I21I8Q,0436-51883-633,120.6700833333,45.08131666667,49,2005-04-24T06:27:12.197000,2005-04-24T06:34:13.243000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6836,10174,KOOPMANS,2005-10-24T18:57:03,J93I21I8Q,,
J93I04JSQ,0439-51877-333,120.9925416667,45.61545,49,2005-04-05T12:35:09.187000,2005-04-05T12:42:10.203000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2188,10174,KOOPMANS,2005-10-05T19:07:30,J93I04JSQ,,
J93I04JTQ,0439-51877-333,120.9925416667,45.61545,49,2005-04-05T12:44:47.170000,2005-04-05T12:51:48.220000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6704,10174,KOOPMANS,2005-10-05T19:12:01,J93I04JTQ,,
J93I01MQQ,0441-51868-108,124.8830416667,45.57911944444,49,2004-12-08T23:38:34.037000,2004-12-08T23:45:35.087000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2021,10174,KOOPMANS,2005-06-10T10:02:45,J93I01MQQ,,
J93I01MRQ,0441-51868-108,124.8830416667,45.57911944444,49,2004-12-08T23:48:12.020000,2004-12-08T23:55:13.070000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5884,10174,KOOPMANS,2005-06-10T10:08:14,J93I01MRQ,,
J93I43IKQ,0472-51955-429,138.022125,0.4836611111111,49,2004-10-12T22:55:10.477000,2004-10-12T23:02:11.407000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1943,10174,KOOPMANS,2005-04-14T03:42:54,J93I43IKQ,,
J93I43ILQ,0472-51955-429,138.022125,0.4836611111111,49,2004-10-12T23:04:48.837000,2004-10-12T23:11:49.767000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5483,10174,KOOPMANS,2005-04-14T06:23:35,J93I43ILQ,,
J93I24A7Q,0476-52314-177,143.9330416667,-0.05966666666667,49,2005-04-25T01:13:55.203000,2005-04-25T01:20:56.253000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2217,10174,KOOPMANS,2005-10-25T06:28:29,J93I24A7Q,,
J93I24A8Q,0476-52314-177,143.9330416667,-0.05966666666667,49,2005-04-25T01:23:33.220000,2005-04-25T01:30:34.267000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6841,10174,KOOPMANS,2005-10-25T06:42:05,J93I24A8Q,,
J93I40GYQ,0541-51959-145,114.3685,32.27185,49,2004-09-21T05:14:59.743000,2004-09-21T05:22:00.677000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1914,10174,KOOPMANS,2005-03-24T15:39:38,J93I40GYQ,,
J93I40GZQ,0541-51959-145,114.3685,32.27185,49,2004-09-21T05:24:37.827000,2004-09-21T05:31:38.850000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5332,10174,KOOPMANS,2005-03-24T22:52:25,J93I40GZQ,,
J93I18J4Q,0572-52289-495,149.933625,4.171388888889,49,2004-10-19T21:16:03.950000,2004-10-19T21:23:05,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1953,10174,KOOPMANS,2005-04-21T08:54:11,J93I18J4Q,,
J93I18J5Q,0572-52289-495,149.933625,4.171388888889,49,2004-10-19T21:25:41.967000,2004-10-19T21:32:43.017000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5532,10174,KOOPMANS,2005-04-21T08:59:42,J93I18J5Q,,
J93I16A1Q,0587-52026-205,220.83175,3.068958333333,49,2005-04-03T13:09:43.173000,2005-04-03T13:16:44.220000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2188,10174,KOOPMANS,2005-10-03T20:46:33,J93I16A1Q,,
J93I16A2Q,0587-52026-205,220.83175,3.068958333333,49,2005-04-03T13:19:21.187000,2005-04-03T13:26:22.237000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6694,10174,KOOPMANS,2005-10-03T20:51:04,J93I16A2Q,,
J93I31SSQ,0605-52353-503,210.6175833333,63.35926111111,49,2004-08-04T17:29:41.857000,2004-08-04T17:36:42.907000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1846,10174,KOOPMANS,2005-02-04T08:15:32,J93I31SSQ,,
J93I31STQ,0605-52353-503,210.6175833333,63.35926111111,49,2004-08-04T17:39:19.747000,2004-08-04T17:46:20.677000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5,10174,KOOPMANS,2005-02-04T08:18:03,J93I31STQ,,
J93I14E7Q,0617-52072-561,236.8800833333,57.33329166667,49,2004-10-29T03:41:42.960000,2004-10-29T03:48:44.007000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1968,10174,KOOPMANS,2005-04-30T14:44:31,J93I14E7Q,,
J93I14E8Q,0617-52072-561,236.8800833333,57.33329166667,49,2004-10-29T03:51:20.977000,2004-10-29T03:58:21.990000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5596,10174,KOOPMANS,2005-04-30T14:50:32,J93I14E8Q,,
J93I42CLQ,0626-52057-518,247.6173333333,45.34341111111,49,2004-10-04T21:25:45.927000,2004-10-04T21:32:46.977000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1934,10174,KOOPMANS,2005-04-06T04:21:26,J93I42CLQ,,
J93I42CMQ,0626-52057-518,247.6173333333,45.34341111111,49,2004-10-04T21:35:23.913000,2004-10-04T21:42:24.960000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.543,10174,KOOPMANS,2005-04-06T04:27:26,J93I42CMQ,,
J93I10EBQ,0627-52144-464,249.0109166667,47.12488055556,49,2004-10-29T04:16:54.960000,2004-10-29T04:23:56.007000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1968,10174,KOOPMANS,2005-04-30T14:56:29,J93I10EBQ,,
J93I10ECQ,0627-52144-464,249.0109166667,47.12488055556,49,2004-10-29T04:26:32.977000,2004-10-29T04:33:33.990000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5601,10174,KOOPMANS,2005-04-30T15:03:01,J93I10ECQ,,
J93I39A7Q,0645-52203-517,350.3372083333,-9.652852777778,49,2004-09-06T01:31:25.893000,2004-09-06T01:38:26.940000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.189,10174,KOOPMANS,2005-03-09T13:38:50,J93I39A7Q,,
J93I39A8Q,0645-52203-517,350.3372083333,-9.652852777778,49,2004-09-06T01:41:03.877000,2004-09-06T01:48:04.923000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5225,10174,KOOPMANS,2005-03-09T18:27:14,J93I39A8Q,,
J93I44EKQ,0655-52162-392,9.47175,-9.705594444444,49,2004-09-18T01:19:57.757000,2004-09-18T01:26:58.687000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1909,10174,KOOPMANS,2005-03-20T06:18:15,J93I44EKQ,,
J93I44ELQ,0655-52162-392,9.47175,-9.705594444444,49,2004-09-18T01:29:35.807000,2004-09-18T01:36:36.737000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5312,10174,KOOPMANS,2005-03-20T10:37:02,J93I44ELQ,,
J93I27KTQ,0668-52162-428,34.218875,-8.229288888889,49,2005-01-05T11:41:42.073000,2005-01-05T11:48:43.120000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2061,10174,KOOPMANS,2005-07-07T21:13:26,J93I27KTQ,,
J93I27KUQ,0668-52162-428,34.218875,-8.229288888889,49,2005-01-05T11:51:20.057000,2005-01-05T11:58:21.107000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6074,10174,KOOPMANS,2005-07-07T21:13:42,J93I27KUQ,,
J93I28BKQ,0677-52606-520,345.2214583333,0.3772083333333,49,2005-01-03T06:57:30.073000,2005-01-03T07:04:31.120000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2061,10174,KOOPMANS,2005-07-05T14:10:10,J93I28BKQ,,
J93I28BLQ,0677-52606-520,345.2214583333,0.3772083333333,49,2005-01-03T07:07:08.057000,2005-01-03T07:14:09.107000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.606,10174,KOOPMANS,2005-07-05T14:25:46,J93I28BLQ,,
J93I48M5Q,0684-52523-311,356.8670416667,-0.08924166666667,49,2004-12-23T15:01:32.020000,2004-12-23T15:08:33.070000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2046,10174,KOOPMANS,2005-06-24T22:07:57,J93I48M5Q,,
J93I48M6Q,0684-52523-311,356.8670416667,-0.08924166666667,49,2004-12-23T15:11:10.037000,2004-12-23T15:18:11.087000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5986,10174,KOOPMANS,2005-06-24T22:13:28,J93I48M6Q,,
J93I06EYQ,0717-52468-165,330.5763333333,-8.780002777778,49,2005-04-15T10:29:46.180000,2005-04-15T10:36:47.227000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2202,10174,KOOPMANS,2005-10-15T18:49:14,J93I06EYQ,,
J93I06EZQ,0717-52468-165,330.5763333333,-8.780002777778,49,2005-04-15T10:39:24.163000,2005-04-15T10:46:25.210000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6777,10174,KOOPMANS,2005-10-16T04:56:29,J93I06EZQ,,
J93I32OZQ,0722-52224-442,339.6675,-7.915569444444,49,2005-04-20T08:45:22.213000,2005-04-20T08:52:23.260000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2207,10174,KOOPMANS,2005-10-21T02:58:40,J93I32OZQ,,
J93I32P0Q,0722-52224-442,339.6675,-7.915569444444,49,2005-04-20T08:55:00.197000,2005-04-20T09:02:01.243000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6812,10174,KOOPMANS,2005-10-21T02:24:37,J93I32P0Q,,
J93I36HQQ,0743-52262-304,345.8405,14.37164166667,49,2004-11-23T13:27:09.010000,2004-11-23T13:34:10.027000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2002,10174,KOOPMANS,2005-05-25T16:52:46,J93I36HQQ,,
J93I36HRQ,0743-52262-304,345.8405,14.37164166667,49,2004-11-23T13:36:46.997000,2004-11-23T13:43:48.043000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5776,10174,KOOPMANS,2005-05-25T18:23:32,J93I36HRQ,,
J93I22W9Q,0777-52320-501,178.7920416667,62.62281666667,49,2005-03-31T13:19:42.180000,2005-03-31T13:26:43.227000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2183,10174,KOOPMANS,2005-10-01T01:25:27,J93I22W9Q,,
J93I22WAQ,0777-52320-501,178.7920416667,62.62281666667,49,2005-03-31T13:29:20.163000,2005-03-31T13:36:21.210000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.667,10174,KOOPMANS,2005-10-01T01:29:27,J93I22WAQ,,
J93I03KDQ,0783-52325-279,194.8294583333,61.569,49,2004-11-07T11:54:10.003000,2004-11-07T12:01:11.050000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1978,10174,KOOPMANS,2005-05-09T17:23:42,J93I03KDQ,,
J93I03KEQ,0783-52325-279,194.8294583333,61.569,49,2004-11-07T12:03:47.987000,2004-11-07T12:10:49.037000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5664,10174,KOOPMANS,2005-05-09T18:50:23,J93I03KEQ,,
J93I17PFQ,0788-52338-605,215.0660416667,60.32077777778,49,2004-11-25T00:33:42.997000,2004-11-25T00:40:44.043000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2002,10174,KOOPMANS,2005-05-29T16:02:17,J93I17PFQ,,
J93I17PGQ,0788-52338-605,215.0660416667,60.32077777778,49,2004-11-25T00:43:21.010000,2004-11-25T00:50:22.027000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5786,10174,KOOPMANS,2005-05-29T16:02:47,J93I17PGQ,,
J93I37VTQ,0815-52374-337,244.6795833333,43.89095555556,49,2004-12-25T19:36:34.037000,2004-12-25T19:43:35.087000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2046,10174,KOOPMANS,2005-06-26T23:23:10,J93I37VTQ,,
J93I37VUQ,0815-52374-337,244.6795833333,43.89095555556,49,2004-12-25T19:46:12.020000,2004-12-25T19:53:13.070000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6001,10174,KOOPMANS,2005-06-26T23:28:41,J93I37VUQ,,
J93I46Z5Q,0835-52326-571,169.415,5.570547222222,49,2004-11-13T06:44:50.003000,2004-11-13T06:51:51.050000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1987,10174,KOOPMANS,2005-05-15T16:35:13,J93I46Z5Q,,
J93I46Z6Q,0835-52326-571,169.415,5.570547222222,49,2004-11-13T06:54:27.987000,2004-11-13T07:01:29.037000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5703,10174,KOOPMANS,2005-05-15T19:25:25,J93I46Z6Q,,
J93I35I1Q,0842-52376-208,181.183625,3.968441666667,49,2005-06-14T13:30:20.267000,2005-06-14T13:37:21.313000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2285,10174,KOOPMANS,2005-12-14T19:54:12,J93I35I1Q,,
J93I35I2Q,0842-52376-208,181.183625,3.968441666667,49,2005-06-14T13:39:58.280000,2005-06-14T13:46:59.330000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.7197,10174,KOOPMANS,2005-12-14T19:56:18,J93I35I2Q,,
J93I34Y9Q,0847-52426-549,192.61775,5.396963888889,49,2005-03-12T02:19:24.140000,2005-03-12T02:26:25.187000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2153,10174,KOOPMANS,2005-09-11T10:56:34,J93I34Y9Q,,
J93I34YAQ,0847-52426-549,192.61775,5.396963888889,49,2005-03-12T02:29:02.157000,2005-03-12T02:36:03.203000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6533,10174,KOOPMANS,2005-09-11T11:01:34,J93I34YAQ,,
J93I45M4Q,0902-52409-068,149.1240833333,51.001775,49,2004-10-30T16:15:29.967000,2004-10-30T16:22:31.017000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1968,10174,KOOPMANS,2005-05-01T20:32:03,J93I45M4Q,,
J93I45M5Q,0902-52409-068,149.1240833333,51.001775,49,2004-10-30T16:25:07.950000,2004-10-30T16:32:09,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.561,10174,KOOPMANS,2005-05-01T20:38:05,J93I45M5Q,,
J93I09GRQ,0902-52409-577,148.3350833333,52.09547222222,49,2004-09-14T03:05:52.937000,2004-09-14T03:12:53.987000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1904,10174,KOOPMANS,2005-03-16T10:02:20,J93I09GRQ,,
J93I09GSQ,0902-52409-577,148.3350833333,52.09547222222,49,2004-09-14T03:15:30.920000,2004-09-14T03:22:31.970000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5283,10174,KOOPMANS,2005-03-16T10:04:51,J93I09GSQ,,
J93I07CDQ,0910-52377-503,202.6897083333,-1.811566666667,49,2004-08-16T18:24:35.877000,2004-08-16T18:31:36.923000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1865,10174,KOOPMANS,2005-02-15T21:54:07,J93I07CDQ,,
J93I07CEQ,0910-52377-503,202.6897083333,-1.811566666667,49,2004-08-16T18:34:13.893000,2004-08-16T18:41:14.940000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5083,10174,KOOPMANS,2005-02-15T21:56:37,J93I07CEQ,,
J93I11BTQ,0921-52380-293,222.8674583333,-2.660119444444,49,2005-05-07T12:40:39.203000,2005-05-07T12:47:40.253000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2231,10174,KOOPMANS,2005-11-09T04:08:14,J93I11BTQ,,
J93I11BUQ,0921-52380-293,222.8674583333,-2.660119444444,49,2005-05-07T12:50:17.220000,2005-05-07T12:57:18.237000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6929,10174,KOOPMANS,2005-11-09T04:12:44,J93I11BUQ,,
J93I02FCQ,0969-52442-134,181.4185,49.17482777778,49,2005-03-08T00:47:32.140000,2005-03-08T00:54:33.187000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.2148,10174,KOOPMANS,2005-09-07T08:10:47,J93I02FCQ,,
J93I02FDQ,0969-52442-134,181.4185,49.17482777778,49,2005-03-08T00:57:10.157000,2005-03-08T01:04:11.203000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.6509,10174,KOOPMANS,2005-09-07T08:16:47,J93I02FDQ,,
J93I26OSQ,0973-52426-464,255.5698333333,33.345775,49,2004-08-11T20:14:05.893000,2004-08-11T20:21:06.940000,420.0,ACS   ,WFC1,CLEAR1L;F435W,4329.1855,10174,KOOPMANS,2005-02-12T12:17:24,J93I26OSQ,,
J93I26OTQ,0973-52426-464,255.5698333333,33.345775,49,2004-08-11T20:23:43.877000,2004-08-11T20:30:44.923000,420.0,ACS   ,WFC1,CLEAR1L;F814W,8047.5049,10174,KOOPMANS,2005-02-11T21:53:25,J93I26OTQ,,
J9OP01010,SDSSJ0008-0004,2.012310559609,-0.06897320162024,40,2006-09-06T08:13:05.107000,2006-09-06T08:44:24.140000,1566.0,ACS   ,WFC1,CLEAR1L;F814W,8045.1514,10886,BOLTON,2006-09-06T17:46:38,J9OP01010,,
U9OP6301M,SDSSJ0008-0004-COPY,1.999961005391,-0.07440948882722,40,2007-05-24T07:55:16.810000,2007-05-24T08:01:56.810000,400.0,WFPC2 ,WF3,F606W,5997.0,10886,BOLTON,2007-05-24T22:20:27,U9OP6301M,,
U9OP6302M,SDSSJ0008-0004-COPY,2.00007522766,-0.07430429400705,40,2007-05-24T08:07:16.810000,2007-05-24T08:13:56.810000,400.0,WFPC2 ,WF3,F606W,5997.0,10886,BOLTON,2007-05-24T22:21:57,U9OP6302M,,
