Name,bSIE,qSIE,PASIE,LSIE/LdV,bLTM,gammaLTM,PAgLTM,LLTM/LdV,Nsrc,Ring?,Good?
J0008-0004,1.16,0.7,35.2,0.393,1.14,0.09,37.6,0.387,3,No,No
J0029-0055,0.96,0.89,25.4,0.284,0.95,0.01,33.1,0.282,2,Yes,Yes
J0037-0942,1.53,0.84,15.9,0.404,1.52,0.01,67.1,0.401,2,No,Yes
J0044+0113,0.79,0.66,7.4,0.218,0.76,0.12,19.4,0.211,2,No,Yes
J0109+1500,0.69,0.55,99.8,0.321,0.68,0.07,83.8,0.317,1,No,Yes
J0157-0056,0.79,0.72,102.6,0.401,0.67,0.24,103.1,0.362,3,No,No
J0216-0813,1.16,0.79,73.3,0.283,1.15,0.03,78.6,0.282,3,No,Yes
J0252+0039,1.04,0.93,106.2,0.441,1.03,0.01,99.2,0.439,3,Yes,Yes
J0330-0020,1.1,0.81,113.2,0.459,1.04,0.07,113.9,0.443,3,No,Yes
J0405-0455,0.8,0.72,21,0.355,0.79,0.05,23.5,0.354,1,Yes,Yes
J0728+3835,1.25,0.85,67.6,0.392,1.25,0.01,170.6,0.393,4,Yes,Yes
J0737+3216,1,0.67,98.8,0.239,0.97,0.1,97.8,0.233,2,Yes,Yes
J0822+2652,1.17,0.88,68.2,0.37,1.14,0.01,10.5,0.365,2,Yes,Yes
J0841+3824,1.41,0.79,91.4,0.242,1.36,0.05,10.2,0.236,2,No,Yes
J0903+4116,1.29,0.9,161.3,0.396,1.27,0.02,142.4,0.393,2,Yes,No
J0912+0029,1.63,0.56,8.2,0.288,1.62,0.1,5.1,0.286,1,Yes,Yes
J0935-0003,0.87,0.69,22.2,0.16,0.81,0.13,27,0.152,1,No,Yes
J0936+0913,1.09,0.89,160.1,0.315,1.09,0.02,16.7,0.315,2,Yes,Yes
J0946+1006,1.38,0.81,159.2,0.355,1.39,0.08,157.9,0.357,2,Yes,Yes
J0955+0101,0.91,0.82,62.5,0.458,1.03,0.27,27.6,0.499,2,No,Yes
J0956+5100,1.33,0.63,146.2,0.356,1.3,0.11,144.2,0.351,1,Yes,Yes
J0959+4416,0.96,0.92,57.4,0.31,0.96,0,35,0.31,2,No,Yes
J0959+0410,0.99,0.86,66.9,0.397,1.01,0.07,142.1,0.402,2,No,Yes
J1016+3859,1.09,0.78,46.4,0.414,1.06,0.08,38.9,0.406,2,No,Yes
J1020+1122,1.2,0.8,135.8,0.413,1.21,0.1,152.6,0.416,2,No,Yes
J1023+4230,1.41,0.87,170.4,0.435,1.4,0.03,168.8,0.433,3,Yes,Yes
J1029+0420,1.01,0.84,93.9,0.378,1.1,0.17,48,0.401,1,No,Yes
J1032+5322,1.03,0.76,139.7,0.582,1.12,0.08,46.2,0.606,3,No,Yes
J1100+5329,1.52,0.53,105.3,0.384,1.43,0.19,113.4,0.369,2,No,No
J1103+5322,1.02,0.52,51.7,0.342,1.04,0.05,71.9,0.348,1,Yes,Yes
J1106+5228,1.23,0.76,56.3,0.407,1.23,0.02,52.3,0.406,1,Yes,Yes
J1112+0826,1.49,0.75,146.5,0.503,1.37,0.03,166.7,0.482,2,No,Yes
J1134+6027,1.1,0.77,102.1,0.343,0.88,0.23,90.2,0.298,1,No,Yes
J1142+1001,0.98,0.83,99.5,0.32,0.92,0.06,89.8,0.307,1,No,Yes
J1143-0144,1.68,0.75,120.1,0.267,1.66,0.04,119.4,0.265,3,No,Yes
J1153+4612,1.05,0.77,21.6,0.46,1.05,0.09,31.1,0.462,1,Yes,Yes
J1204+0358,1.31,0.84,65.4,0.455,1.27,0.08,64.6,0.446,2,Yes,Yes
J1205+4910,1.22,0.7,156.6,0.302,1.2,0.06,158.3,0.299,1,Yes,Yes
J1213+6708,1.42,0.83,14.5,0.297,1.38,0.02,164.6,0.292,1,No,Yes
J1218+0830,1.45,0.75,51.5,0.3,1.44,0.03,54.9,0.299,1,No,Yes
J1250+0523,1.13,0.96,130.8,0.366,1.11,0.01,140.5,0.362,5,Yes,Yes
J1251-0208,0.84,0.67,33.9,0.218,0.85,0.07,156.5,0.221,2,No,No
J1402+6321,1.35,0.83,64.4,0.316,1.36,0.02,34.4,0.317,2,Yes,Yes
J1403+0006,0.83,0.81,140.8,0.354,0.83,0.05,169.4,0.354,4,Yes,Yes
J1416+5136,1.37,0.94,71.4,0.483,1.36,0.04,96.7,0.482,3,No,Yes
J1420+6019,1.04,0.67,111.3,0.329,1.07,0.01,108.7,0.335,2,Yes,Yes
J1430+4105,1.52,0.68,111.7,0.355,1.46,0.1,110.3,0.344,6,Yes,Yes
J1432+6317,1.26,0.96,130.4,0.153,1.25,0.01,152,0.151,2,No,Yes
J1436-0000,1.12,0.72,156.2,0.315,1.08,0.07,162.6,0.308,1,No,Yes
J1443+0304,0.81,0.73,78.1,0.438,0.78,0.08,97.9,0.427,1,No,Yes
J1451-0239,1.04,0.97,106.3,0.277,1.03,0.02,113.8,0.274,1,No,Yes
J1525+3327,1.31,0.51,134.3,0.292,1.3,0.11,132.5,0.291,1,No,Yes
J1531-0105,1.71,0.77,142.9,0.393,1.71,0.03,139.4,0.393,2,Yes,Yes
J1538+5817,1,0.89,152.1,0.365,0.99,0.01,146.6,0.363,2,Yes,Yes
J1621+3931,1.29,0.77,148.7,0.358,1.29,0.03,161.9,0.358,1,No,Yes
J1627-0053,1.23,0.91,10.5,0.36,1.22,0,60.6,0.359,1,Yes,Yes
J1630+4520,1.78,0.87,74.9,0.475,1.78,0.02,84.1,0.475,4,Yes,Yes
J1636+4707,1.09,0.79,98.2,0.38,1.08,0.04,91.9,0.38,2,Yes,Yes
J2238-0754,1.27,0.85,137.4,0.335,1.28,0,72.2,0.335,2,Yes,Yes
J2300+0022,1.24,0.71,87.8,0.391,1.21,0.08,90,0.386,1,Yes,Yes
J2303+1422,1.62,0.61,35.3,0.318,1.6,0.07,33.8,0.316,2,Yes,Yes
J2321-0939,1.6,0.86,135.2,0.258,1.6,0.01,172.6,0.258,2,Yes,Yes
J2341+0000,1.44,0.76,96.6,0.295,1.47,0.07,143.3,0.299,4,Yes,Yes
